anime_norm_title,episodes,favorites,score,studios,genres,start_year,end_year,years_aired_str,award,cr_award_winner
x,24.0,772,7.38,Madhouse,"Action, Drama, Fantasy, Mystery",2001.0,2002.0,"2001,2002",Not Award Winning,Not Crunchyroll Winner
k,13.0,6863,7.42,GoHands,"Action, Mystery",2012.0,2012.0,2012,Not Award Winning,Not Crunchyroll Winner
if,13.0,109,6.11,Gonzo,"Mystery, Supernatural",2017.0,2017.0,2017,Not Award Winning,Not Crunchyroll Winner
id,12.0,22,6.5,SANZIGEN,Sci-Fi,2017.0,2017.0,2017,Not Award Winning,Not Crunchyroll Winner
mm,12.0,662,7.01,Xebec,"Comedy, Ecchi",2010.0,2010.0,2010,Not Award Winning,Not Crunchyroll Winner
no,11.0,7480,7.55,Bones,"Action, Drama, Mystery, Sci-Fi",2011.0,2011.0,2011,Not Award Winning,Not Crunchyroll Winner
pet,13.0,266,6.44,Geno Studio,"Mystery, Supernatural, Suspense",2020.0,2020.0,2020,Not Award Winning,Not Crunchyroll Winner
akb,13.0,683,7.34,Satelight,Sci-Fi,2012.0,2012.0,2012,Not Award Winning,Not Crunchyroll Winner
man,56.0,8,5.89,TCJ,"Action, Drama, Sci-Fi",1963.0,1964.0,"1963,1964",Not Award Winning,Not Crunchyroll Winner
kon,13.0,24951,7.86,Kyoto Animation,"Award Winning, Comedy",2010.0,2010.0,2010,Not Award Winning,Not Crunchyroll Winner
mix,24.0,71,7.22,OLM,"Drama, Romance, Sports",2023.0,2023.0,2023,Not Award Winning,Not Crunchyroll Winner
shy,12.0,215,6.71,8bit,"Action, Drama",2024.0,2024.0,2024,Not Award Winning,Not Crunchyroll Winner
air,12.0,2681,7.27,Kyoto Animation,"Drama, Romance, Supernatural",2005.0,2005.0,2005,Not Award Winning,Not Crunchyroll Winner
pupa,12.0,254,3.29,Studio Deen,"Fantasy, Horror, Suspense",2014.0,2014.0,2014,Not Award Winning,Not Crunchyroll Winner
dive,12.0,76,6.08,Zero-G,"Drama, Sports",2017.0,2017.0,2017,Not Award Winning,Not Crunchyroll Winner
dna²,12.0,115,6.62,"Madhouse, Studio Deen","Comedy, Romance, Sci-Fi",1994.0,1994.0,1994,Not Award Winning,Not Crunchyroll Winner
noir,26.0,887,7.27,Bee Train,"Action, Drama, Mystery",2001.0,2001.0,2001,Not Award Winning,Not Crunchyroll Winner
ozma,6.0,8,6.07,"Gonzo, LandQ studios","Action, Adventure, Sci-Fi",2012.0,2012.0,2012,Not Award Winning,Not Crunchyroll Winner
days,12.0,8438,7.82,Shuka,"Action, Drama, Suspense",2016.0,2016.0,2016,Not Award Winning,Not Crunchyroll Winner
norn,12.0,276,6.54,"Kinema Citrus, Orange","Adventure, Fantasy, Romance, Sci-Fi",2016.0,2016.0,2016,Not Award Winning,Not Crunchyroll Winner
ungo,11.0,632,7.32,Bones,"Mystery, Sci-Fi, Supernatural",2011.0,2011.0,2011,Not Award Winning,Not Crunchyroll Winner
arte,12.0,387,7.2,Seven Arcs,Drama,2020.0,2020.0,2020,Not Award Winning,Not Crunchyroll Winner
gate,12.0,6505,7.68,A-1 Pictures,"Action, Adventure, Fantasy",2015.0,2015.0,2015,Not Award Winning,Not Crunchyroll Winner
