anime,avg_sentiment
absolute duo,0.1874045138888889
accel world,0.10792179802955665
afro samurai,0.1757731445814073
aharensan wa hakarenai,0.11601600985221676
akame ga kill,0.1798766836462149
akudama drive,0.2260909090909091
amagami ss,0.18145087235996327
amagi brilliant park,0.4857291666666667
angel beats,0.06879615482556659
anor,0.31693638392857143
aoashi,0.55625
arakawa under bridge,0.0679029304029304
assassination classroom,0.2203409090909091
attack on titan,0.08338387254184355
b beginning,0.049527141785359746
baccano,0.1258306277056277
bakemonogatari,0.027346428571428567
bakuman,0.22125
banana fish,0.1396250553171144
barakamon,0.1375
beelzebub,0.06857142857142857
bento,-0.039114583333333335
berserk,0.15550470754570578
black bullet,-0.06753968253968252
black clover,-0.05501386268793231
black lagoon,0.04014318208122896
bleach,0.21572919808447472
blue lock,0.09986874999999999
blue period,0.07791700915118636
bocchi rock,0.0856244708994709
boruto naruto next generations,0.04047689927006937
btooom,0.06666666666666665
cardcaptor sakura,0.12539904115668504
carole tuesday,0.1603125
chainsaw man,0.10658633372048007
charlotte,0.29118843719156695
chihayafuru,0.31364452716823404
chobits,0.16243961352657005
citrus,0.163718820861678
clannad,0.1452805944055944
claymore,0.18092817059483726
cowboy bebop,0.07804203323558162
cyberpunk edgerunners,0.12914380196523054
dagashi kashi,0.07442857142857143
darling in franxx,0.09233681934712863
darwins game,-0.22508002645502648
date a live,0.09070139649707845
days,0.27717013888888886
dead mount death play,-0.07321428571428572
deadman wonderland,0.012499999999999999
death note,0.10915678571428572
death parade,0.05174861358684888
demon slayer kimetsu no yaiba,0.10427608242879179
devilman crybaby,0.18744679334802103
devils line,0.14011243386243388
diabolik lovers,0.03366402116402116
digimon adventure,0.11949349219803765
dimension w,0.25674404599906686
dororo,0.17799900383707204
dr stone,0.16330080698287222
dragon ball,0.1653338381333173
drifters,0.023933295540438406
durarara,0.11474449463579899
edens zero,0.13967770380661007
elfen lied,0.1407258064516129
engage kiss,0.09238449848024315
erased,0.19352319275706373
ergo proxy,0.20897630881959636
eromanga sensei,0.0
fairy tail,0.19301618097349807
fatestay night,0.17965071237061978
flcl,0.11171984856160387
flip flappers,0.1875
flying witch,0.08511695498511905
fruits basket,0.23030862981116293
full metal panic,0.2551388888888889
fullmetal alchemist,0.2861637788635415
fuuka,0.07685185185185185
gabriel dropout,0.15343749999999998
gamers,0.32868675595238095
gangsta,0.05602213541666666
gintama,0.18811370002546474
girls und panzer,0.07301812770562771
given,0.2488452858060838
gleipnir,-0.04740043290043291
goblin slayer,0.09016033756912945
god eater,0.14142156862745098
god of high school,0.14511484303128758
golden kamuy,0.18905349794238682
golden time,0.27635124445209674
guilty crown,-0.09772985923929321
haibane renmei,0.041666666666666664
hamatora animation,0.35000000000000003
hanamonogatari,0.580952380952381
happy sugar life,0.3857063560129598
hellsing,0.1658600351322954
hi score girl,0.06274456099456098
high school dxd,0.21287157287157288
himouto umaruchan,-0.012678571428571431
hinamatsuri,0.0
horimiya,0.24593523550724636
hundred,0.2222222222222222
hunter x hunter,0.14777512971661907
hyouka,0.02773712737127371
inuyasha,0.20973513941255878
isekai cheat magician,0.1308455212228432
isekai quartet,0.1572137445887446
jormungand,0.04000000000000001
jujutsu kaisen,0.0
just because,0.10947187093799243
k,0.10991639331957209
kakegurui,0.06134740259740259
kakushigoto,-0.007142857142857145
katanagatari,0.2833333333333334
kaze no stigma,0.09858920841063697
keijo,0.31875000000000003
kemono jihen,0.1625
kill la kill,0.1463520439931888
kiznaiver,0.10418118466898954
knights magic,0.5
kokoro connect,0.17458333333333334
kon,0.2553362280475207
koyomimonogatari,-0.16666666666666666
little busters,0.15698903517939208
little witch academia,-0.07465124458874459
log horizon,0.16946969696969696
love live school idol project,0.23950516208328707
lycoris recoil,0.09063571428571429
made in abyss,0.12074033377046406
magi kingdom of magic,0.20631907432394445
magi labyrinth of magic,0.14865081904552943
mayo chiki,0.17647058823529413
mekakucity actors,0.18838095238095237
mob psycho,0.12304292929292929
monogatari series second,0.08600537448471332
mononoke,0.21566751700680276
monster,0.1519585253456221
mushishi,0.2022337095094448
my hero academia,0.14123531380310414
nana,0.15013061650992685
nanbaka,0.16597222222222222
naruto,0.09135380186293109
new game,0.05302295918367347
nisemonogatari,0.1
no,0.02697896780583116
noblesse,0.1456609578268509
non non biyori,0.20625
noragami,0.02149122807017544
odd taxi,-0.047180695847362515
one punch man,0.14074415941408128
orange,0.13066077441077442
oshi no ko,0.04206254756276871
outbreak company,-0.004901960784313726
overlord,0.18439508723599632
owarimonogatari,0.16197916666666667
pandora hearts,0.11872532139577596
panty stocking with garterbelt,0.06962824053341295
persona animation,0.046946750754325826
ping pong animation,0.173757855379518
plastic memories,-0.027757037833960913
platinum end,0.027795815295815297
plunderer,-0.06302083333333335
pluto,0.2582567917374333
prison school,-0.011643156955656944
promised neverland,0.11427060967390021
relife,0.2965471721721722
romantic killer,-0.054171457882395364
sabikui bisco,0.2869047619047619
sakura trick,0.20000000000000004
sekirei,0.06023308270676691
serial experiments lain,0.08350353696370258
servamp,0.01834677419354839
shadows house,0.1769261646313885
shaman king,0.10249988894310881
shiki,0.17620132163034705
shirobako,0.25
slam dunk,0.16143261404774564
solo leveling,-0.04745738636363637
sonny boy,0.12963235294117648
soul eater,0.17236120275281802
strike blood,-0.006087184873949582
sword art online,0.05258980068151565
tamako market,0.2992716836734694
texhnolyze,0.1255578651213572
tokyo ghoul,0.08141891891891892
tokyo ghoulre,0.12057252100145001
tokyo magnitude,-0.009006734006733994
tokyo ravens,0.32499999999999996
tokyo revengers,0.12951962809917356
tomodachi game,-0.23368348059937827
toradora,0.23294047619047617
trigun,0.20580184602506033
trinity seven,0.11854166666666667
tsukimonogatari,0.09
urusei yatsura,0.24194784382284384
vampire knight,0.18196648403679655
vinland saga,0.2307931178669815
violet evergarden,0.17508684840082514
wind breaker,0.21631994548661215
wonder egg priority,0.13405982905982908
world trigger,0.1076237279946855
xxxholic,0.31194188978292237
your lie in april,0.12080515506478286
yuri on ice,0.0965071905759946
zombie land saga,0.1283992042843421
