anime_norm_title,episodes,favorites,score,genres,total_views,production_cost,award,cr_award_winner
k,13.0,6863,7.42,"Action, Mystery, Supernatural",139327.0,100000.0,Not Award Winning,Not Crunchyroll Winner
no,11.0,7480,7.55,"Action, Drama, Psychological, Sci-Fi",85420.0,150000.0,Not Award Winning,Not Crunchyroll Winner
kon,13.0,24951,7.86,"Comedy, Music, Slice of Life",71879.0,100000.0,Not Award Winning,Not Crunchyroll Winner
days,12.0,8438,7.82,"Action, Drama, Psychological",154842.0,300000.0,Not Award Winning,Not Crunchyroll Winner
nana,47.0,33206,8.56,"Drama, Music, Romance, Slice of Life",141706.0,250000.0,Not Award Winning,Not Crunchyroll Winner
anor,12.0,18219,7.46,"Horror, Mystery, Psychological, Supernatural, Thriller",302111.0,100000.0,Not Award Winning,Not Crunchyroll Winner
flcl,6.0,32080,8.04,"Action, Comedy, Mecha, Sci-Fi",156864.0,200000.0,Not Award Winning,Not Crunchyroll Winner
keijo,12.0,1459,6.9,"Comedy, Ecchi, Sports",83986.0,250000.0,Not Award Winning,Not Crunchyroll Winner
fuuka,12.0,918,6.51,"Drama, Ecchi, Music, Romance",56009.0,300000.0,Not Award Winning,Not Crunchyroll Winner
given,11.0,17787,8.3,"Drama, Music, Romance, Slice of Life",170171.0,300000.0,Not Award Winning,Not Crunchyroll Winner
pluto,8.0,2928,8.45,"Action, Mystery, Psychological, Sci-Fi",57998.0,100000.0,Not Award Winning,Not Crunchyroll Winner
dfrag,12.0,2403,7.49,Comedy,71326.0,250000.0,Not Award Winning,Not Crunchyroll Winner
shiki,22.0,8730,7.72,"Horror, Mystery, Supernatural, Thriller",100959.0,250000.0,Not Award Winning,Not Crunchyroll Winner
bento,12.0,1200,7.18,"Action, Comedy, Ecchi",57162.0,150000.0,Not Award Winning,Not Crunchyroll Winner
bleach,366.0,79473,7.97,"Action, Adventure, Supernatural",348293.0,200000.0,Not Award Winning,Not Crunchyroll Winner
aoashi,24.0,3345,8.16,Sports,60300.0,200000.0,Not Award Winning,Not Crunchyroll Winner
btooom,12.0,3453,7.26,"Action, Psychological, Sci-Fi",131560.0,250000.0,Not Award Winning,Not Crunchyroll Winner
bloodc,12.0,1306,6.53,"Action, Horror, Mystery, Supernatural",76319.0,100000.0,Not Award Winning,Not Crunchyroll Winner
hyouka,22.0,27839,8.05,"Mystery, Romance, Slice of Life",273782.0,200000.0,Not Award Winning,Not Crunchyroll Winner
gamers,12.0,2239,6.73,"Comedy, Drama, Romance, Slice of Life",137754.0,200000.0,Not Award Winning,Not Crunchyroll Winner
dororo,24.0,22295,8.25,"Action, Adventure, Drama, Supernatural",279590.0,250000.0,Not Award Winning,Not Crunchyroll Winner
relife,13.0,10492,7.96,"Comedy, Drama, Romance, Slice of Life",192615.0,250000.0,Not Award Winning,Not Crunchyroll Winner
orange,13.0,7273,7.63,"Drama, Romance, Supernatural",184518.0,100000.0,Not Award Winning,Not Crunchyroll Winner
erased,12.0,50168,8.3,"Drama, Mystery, Psychological, Supernatural, Thriller",464012.0,100000.0,Not Award Winning,Not Crunchyroll Winner
trigun,26.0,16908,8.22,"Action, Adventure, Comedy, Drama, Sci-Fi",125922.0,100000.0,Not Award Winning,Not Crunchyroll Winner
naruto,220.0,83595,8.01,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",541456.0,300000.0,Not Award Winning,Not Crunchyroll Winner
citrus,12.0,4030,6.43,"Drama, Romance",115197.0,300000.0,Not Award Winning,Not Crunchyroll Winner
servamp,12.0,1336,6.87,"Action, Supernatural",55254.0,300000.0,Not Award Winning,Not Crunchyroll Winner
gintama,201.0,60661,8.93,"Action, Comedy, Drama, Sci-Fi",224296.0,200000.0,Not Award Winning,Not Crunchyroll Winner
nanbaka,13.0,2345,7.33,"Action, Comedy, Drama",69838.0,150000.0,Not Award Winning,Not Crunchyroll Winner
baccano,13.0,23553,8.35,"Action, Mystery, Supernatural",154003.0,150000.0,Not Award Winning,Not Crunchyroll Winner
monster,74.0,58262,8.89,"Drama, Horror, Mystery, Psychological, Thriller",229993.0,200000.0,Not Award Winning,Not Crunchyroll Winner
hundred,12.0,689,6.3,"Action, Ecchi, Mecha, Sci-Fi",63384.0,250000.0,Not Award Winning,Not Crunchyroll Winner
ahogirl,12.0,1181,6.71,"Comedy, Romance",102709.0,200000.0,Not Award Winning,Not Crunchyroll Winner
bakuman,25.0,9552,8.17,"Comedy, Drama, Romance, Slice of Life",52866.0,100000.0,Not Award Winning,Not Crunchyroll Winner
clannad,23.0,28168,7.99,"Comedy, Drama, Romance, Slice of Life, Supernatural",229288.0,100000.0,Not Award Winning,Not Crunchyroll Winner
gangsta,12.0,3988,7.42,"Action, Drama",107241.0,300000.0,Not Award Winning,Not Crunchyroll Winner
sekirei,12.0,1767,7.02,"Action, Comedy, Ecchi",59427.0,200000.0,Not Award Winning,Not Crunchyroll Winner
berserk,25.0,30104,8.6,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",58116.0,300000.0,Not Award Winning,Not Crunchyroll Winner
