anime_norm_title,score,production_cost,avg_sentiment,award,cr_award_winner
k,7.42,100000.0,0.109916393319572,Not Award Winning,Not Crunchyroll Winner
no,7.55,150000.0,0.0269789678058311,Not Award Winning,Not Crunchyroll Winner
kon,7.86,100000.0,0.2553362280475207,Not Award Winning,Not Crunchyroll Winner
days,7.82,300000.0,0.2771701388888888,Not Award Winning,Not Crunchyroll Winner
nana,8.56,250000.0,0.1501306165099268,Not Award Winning,Not Crunchyroll Winner
anor,7.46,100000.0,0.3169363839285714,Not Award Winning,Not Crunchyroll Winner
flcl,8.04,200000.0,0.1117198485616038,Not Award Winning,Not Crunchyroll Winner
keijo,6.9,250000.0,0.31875,Not Award Winning,Not Crunchyroll Winner
fuuka,6.51,300000.0,0.0768518518518518,Not Award Winning,Not Crunchyroll Winner
given,8.3,300000.0,0.2488452858060838,Not Award Winning,Not Crunchyroll Winner
pluto,8.45,100000.0,0.2582567917374333,Not Award Winning,Not Crunchyroll Winner
shiki,7.72,250000.0,0.176201321630347,Not Award Winning,Not Crunchyroll Winner
bento,7.18,150000.0,-0.0391145833333333,Not Award Winning,Not Crunchyroll Winner
bleach,7.97,200000.0,0.2157291980844747,Not Award Winning,Not Crunchyroll Winner
aoashi,8.16,200000.0,0.55625,Not Award Winning,Not Crunchyroll Winner
btooom,7.26,250000.0,0.0666666666666666,Not Award Winning,Not Crunchyroll Winner
hyouka,8.05,200000.0,0.0277371273712737,Not Award Winning,Not Crunchyroll Winner
gamers,6.73,200000.0,0.3286867559523809,Not Award Winning,Not Crunchyroll Winner
dororo,8.25,250000.0,0.177999003837072,Not Award Winning,Not Crunchyroll Winner
relife,7.96,250000.0,0.2965471721721722,Not Award Winning,Not Crunchyroll Winner
orange,7.63,100000.0,0.1306607744107744,Not Award Winning,Not Crunchyroll Winner
erased,8.3,100000.0,0.1935231927570637,Not Award Winning,Not Crunchyroll Winner
trigun,8.22,100000.0,0.2058018460250603,Not Award Winning,Not Crunchyroll Winner
naruto,8.01,300000.0,0.091353801862931,Not Award Winning,Not Crunchyroll Winner
citrus,6.43,300000.0,0.163718820861678,Not Award Winning,Not Crunchyroll Winner
servamp,6.87,300000.0,0.0183467741935483,Not Award Winning,Not Crunchyroll Winner
gintama,8.93,200000.0,0.1881137000254647,Not Award Winning,Not Crunchyroll Winner
nanbaka,7.33,150000.0,0.1659722222222222,Not Award Winning,Not Crunchyroll Winner
baccano,8.35,150000.0,0.1258306277056277,Not Award Winning,Not Crunchyroll Winner
monster,8.89,200000.0,0.1519585253456221,Not Award Winning,Not Crunchyroll Winner
hundred,6.3,250000.0,0.2222222222222222,Not Award Winning,Not Crunchyroll Winner
bakuman,8.17,100000.0,0.22125,Not Award Winning,Not Crunchyroll Winner
clannad,7.99,100000.0,0.1452805944055944,Not Award Winning,Not Crunchyroll Winner
gangsta,7.42,300000.0,0.0560221354166666,Not Award Winning,Not Crunchyroll Winner
sekirei,7.02,200000.0,0.0602330827067669,Not Award Winning,Not Crunchyroll Winner
berserk,8.6,300000.0,0.1555047075457057,Not Award Winning,Not Crunchyroll Winner
chobits,7.39,100000.0,0.16243961352657,Not Award Winning,Not Crunchyroll Winner
odd taxi,8.64,250000.0,-0.0471806958473625,Award Winning,Not Crunchyroll Winner
durarara,8.09,100000.0,0.1147444946357989,Not Award Winning,Not Crunchyroll Winner
claymore,7.73,300000.0,0.1809281705948372,Not Award Winning,Not Crunchyroll Winner
mononoke,8.41,150000.0,0.2156675170068027,Not Award Winning,Not Crunchyroll Winner
horimiya,8.19,250000.0,0.2459352355072463,Not Award Winning,Not Crunchyroll Winner
noragami,7.94,250000.0,0.0214912280701754,Not Award Winning,Not Crunchyroll Winner
new game,7.55,150000.0,0.0530229591836734,Not Award Winning,Not Crunchyroll Winner
inuyasha,7.87,300000.0,0.2097351394125587,Not Award Winning,Not Crunchyroll Winner
hellsing,7.49,300000.0,0.1658600351322954,Not Award Winning,Not Crunchyroll Winner
toradora,8.05,100000.0,0.2329404761904761,Not Award Winning,Not Crunchyroll Winner
overlord,7.9,250000.0,0.1843950872359963,Not Award Winning,Not Crunchyroll Winner
mushishi,8.65,250000.0,0.2022337095094448,Not Award Winning,Not Crunchyroll Winner
dr stone,8.26,150000.0,0.1633008069828722,Not Award Winning,Not Crunchyroll Winner
noblesse,6.9,150000.0,0.1456609578268509,Not Award Winning,Not Crunchyroll Winner
xxxholic,7.97,150000.0,0.3119418897829223,Not Award Winning,Not Crunchyroll Winner
gleipnir,6.95,250000.0,-0.0474004329004329,Not Award Winning,Not Crunchyroll Winner
drifters,7.88,200000.0,0.0239332955404384,Not Award Winning,Not Crunchyroll Winner
kiznaiver,7.36,200000.0,0.1041811846689895,Not Award Winning,Not Crunchyroll Winner
sonny boy,7.83,250000.0,0.1296323529411764,Award Winning,Not Crunchyroll Winner
god eater,7.18,300000.0,0.1414215686274509,Not Award Winning,Not Crunchyroll Winner
slam dunk,8.55,300000.0,0.1614326140477456,Not Award Winning,Not Crunchyroll Winner
plunderer,6.65,250000.0,-0.0630208333333333,Not Award Winning,Not Crunchyroll Winner
kakegurui,7.22,200000.0,0.0613474025974025,Not Award Winning,Not Crunchyroll Winner
